name,material,grid,coverage,blocksplies,splitstack,key,increment,scale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sparcap_center_top,,,,,,,,1,0,0.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,0.5,0.26,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sparcap_center_bot,,,,,,,,1,0,0.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,0.5,0.26,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core_ss_start,,,,,,,,123,0,10,20,25,27,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,116,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              ,,,,,,,,1,0.01,0.01,0.55,0.55,0.5,0.5,0.35,0.4,0.45,0.45,0.45,0.5,0.45,0.45,0.4,0.4,0.4,0.32,0.3,0.25,0.25,0.2,0.15,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
taper_ss_start,,,,,,,,123,0,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              ,,,,,,,,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core_ps_start,,,,,,,,123,0,10,20,25,27,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,116,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
              ,,,,,,,,1,0.01,0.01,0.1,0.1,0.1,0.25,0.35,0.35,0.4,0.45,0.45,0.5,0.45,0.45,0.35,0.4,0.4,0.3,0.3,0.25,0.25,0.2,0.15,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
taper_ps_start,,,,,,,,123,0,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                ,,,,,,,,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
core_le_start,,,,,,,,1,0,0.25,0.251,0.5,0.51,0.75,0.751,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
